epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,221.857,0.42348,0.28414,0.8896,0.99635,0.95,0.99262,0.89275,0.45792,0.29134,0.85036,0.000548,0.000548,0.000548
46,225.986,0.44396,0.31306,0.89829,0.99693,0.95,0.99262,0.87791,0.4379,0.28485,0.85575,0.000515,0.000515,0.000515
47,229.931,0.44242,0.30539,0.90069,1,0.99713,0.995,0.8858,0.44366,0.28806,0.86217,0.000482,0.000482,0.000482
48,234.797,0.43591,0.31111,0.87248,1,0.99763,0.995,0.91373,0.42972,0.27716,0.84455,0.000449,0.000449,0.000449
49,239.061,0.43347,0.30024,0.89382,1,0.99727,0.995,0.90647,0.47442,0.29997,0.86105,0.000416,0.000416,0.000416
50,243.24,0.42006,0.28874,0.89097,1,0.99714,0.995,0.9051,0.46471,0.2853,0.86131,0.000383,0.000383,0.000383
51,250.572,0.36,0.27412,0.85117,0.99672,0.95,0.985,0.92153,0.43354,0.29759,0.85377,0.00035,0.00035,0.00035
52,255.278,0.33475,0.24552,0.82445,0.99577,0.95,0.96536,0.89486,0.45888,0.32894,0.85978,0.000317,0.000317,0.000317
53,260.085,0.34811,0.23733,0.82808,0.99601,0.95,0.98346,0.91368,0.45911,0.31863,0.86547,0.000284,0.000284,0.000284
54,264.197,0.32284,0.22878,0.81285,0.9968,0.95,0.98667,0.92367,0.43229,0.32047,0.85467,0.000251,0.000251,0.000251
55,268.268,0.30381,0.22754,0.82582,0.99712,0.95,0.99262,0.91422,0.43627,0.29423,0.84924,0.000218,0.000218,0.000218
56,273.219,0.31967,0.21805,0.81702,1,0.99757,0.995,0.92801,0.4104,0.24498,0.83743,0.000185,0.000185,0.000185
57,277.551,0.31581,0.22709,0.81175,1,0.99927,0.995,0.93302,0.39194,0.22508,0.83363,0.000152,0.000152,0.000152
58,281.665,0.31179,0.20574,0.82713,0.99917,1,0.995,0.93568,0.39146,0.21872,0.83167,0.000119,0.000119,0.000119
59,286.641,0.29192,0.204,0.81468,0.99869,1,0.995,0.92958,0.39747,0.21898,0.83009,8.6e-05,8.6e-05,8.6e-05
60,290.89,0.2938,0.19815,0.81552,0.9984,1,0.995,0.93279,0.40304,0.21661,0.83118,5.3e-05,5.3e-05,5.3e-05
